Time,Price
2022-05-02 11:15:00,1364.25
2022-05-02 11:15:01,1363.3
2022-05-02 11:15:02,1363.8
2022-05-02 11:15:03,1364.15
2022-05-02 11:15:04,1365.4
2022-05-02 11:15:05,1364.8
2022-05-02 11:15:06,1365.55
2022-05-02 11:15:07,1365.35
2022-05-02 11:15:08,1367.15
2022-05-02 11:15:09,1365.7
2022-05-02 11:15:10,1365.35
2022-05-02 11:15:11,1365.45
2022-05-02 11:15:12,1365.45
2022-05-02 11:15:13,1366.85
2022-05-02 11:15:14,1367.05
2022-05-02 11:15:15,1366.1
2022-05-02 11:15:16,1367.15
2022-05-02 11:15:17,1367.8
2022-05-02 11:15:18,1365.95
2022-05-02 11:15:19,1366.4
2022-05-02 11:15:20,1367.05
2022-05-02 11:15:21,1367.05
2022-05-02 11:15:22,1367.55
2022-05-02 11:15:23,1370.15
2022-05-02 11:15:24,1370.55
2022-05-02 11:15:25,1369.85
2022-05-02 11:15:26,1369.5
2022-05-02 11:15:27,1369.95
2022-05-02 11:15:28,1369.95
2022-05-02 11:15:29,1370.45
2022-05-02 11:15:30,1369.9
2022-05-02 11:15:31,1369.7
2022-05-02 11:15:32,1369.7
2022-05-02 11:15:33,1368.9
2022-05-02 11:15:34,1368.85
2022-05-02 11:15:35,1368.55
2022-05-02 11:15:36,1368.55
2022-05-02 11:15:37,1368.55
2022-05-02 11:15:38,1367.55
2022-05-02 11:15:39,1369.7
2022-05-02 11:15:40,1368.05
2022-05-02 11:15:41,1368.8
2022-05-02 11:15:42,1369.35
2022-05-02 11:15:43,1369.75
2022-05-02 11:16:14,1368.35
2022-05-02 11:16:15,1368
2022-05-02 11:16:16,1368
2022-05-02 11:16:17,1367.35
2022-05-02 11:16:18,1367.95
2022-05-02 11:16:19,1367.95
2022-05-02 11:16:20,1367.35
2022-05-02 11:16:21,1367.8
2022-05-02 11:16:22,1367.8
2022-05-02 11:16:23,1367.55
2022-05-02 11:16:24,1367.55
2022-05-02 11:16:25,1367.55
2022-05-02 11:16:26,1367.45
2022-05-02 11:16:27,1367.45
2022-05-02 11:16:28,1367.75
2022-05-02 11:16:29,1368.15
2022-05-02 11:16:30,1368.05
2022-05-02 11:16:31,1368.15
2022-05-02 11:16:33,1367.75
2022-05-02 11:16:34,1368.45
2022-05-02 11:16:35,1368.45
2022-05-02 11:16:36,1368.75
2022-05-02 11:16:37,1368.75
2022-05-02 11:16:38,1368.6
2022-05-02 11:16:39,1368
2022-05-02 11:16:40,1368.8
2022-05-02 11:16:41,1368.95
2022-05-02 11:16:42,1368.7
2022-05-02 11:16:43,1369.5
2022-05-02 11:17:14,1369.55
2022-05-02 11:17:15,1369
2022-05-02 11:17:16,1369
2022-05-02 11:17:18,1369.05
2022-05-02 11:17:19,1369.35
2022-05-02 11:17:20,1369.35
2022-05-02 11:17:21,1369.4
2022-05-02 11:17:22,1369.4
2022-05-02 11:17:23,1368.95
2022-05-02 11:17:24,1368.95
2022-05-02 11:17:25,1368.9
2022-05-02 11:17:26,1368.5
2022-05-02 11:17:27,1368.45
2022-05-02 11:17:28,1368.25
2022-05-02 11:17:29,1368.35
2022-05-02 11:17:30,1368.3
2022-05-02 11:17:31,1368.25
2022-05-02 11:17:32,1368.1
2022-05-02 11:17:33,1368.1
2022-05-02 11:17:34,1367.55
2022-05-02 11:17:35,1367.55
2022-05-02 11:17:36,1367.6
2022-05-02 11:17:37,1368.05
2022-05-02 11:17:38,1367.95
2022-05-02 11:17:40,1368.35
2022-05-02 11:17:41,1367.95
2022-05-02 11:17:42,1368.25
2022-05-02 11:17:43,1367.95
2022-05-02 11:18:14,1370
2022-05-02 11:18:15,1370.4
2022-05-02 11:18:16,1370.4
2022-05-02 11:18:17,1370
2022-05-02 11:18:18,1370
2022-05-02 11:18:19,1369.65
2022-05-02 11:18:20,1369.75
2022-05-02 11:18:21,1370.35
2022-05-02 11:18:22,1370.35
2022-05-02 11:18:23,1370
2022-05-02 11:18:24,1370
2022-05-02 11:18:25,1370.35
2022-05-02 11:18:26,1370.4
2022-05-02 11:18:27,1369.75
2022-05-02 11:18:28,1370.4
2022-05-02 11:18:29,1371
2022-05-02 11:18:30,1371.3
2022-05-02 11:18:31,1371.1
2022-05-02 11:18:32,1371
2022-05-02 11:18:33,1370.95
2022-05-02 11:18:34,1370.95
2022-05-02 11:18:35,1370.95
2022-05-02 11:18:36,1370.95
2022-05-02 11:18:37,1370.95
2022-05-02 11:18:39,1370.45
2022-05-02 11:18:40,1370.5
2022-05-02 11:18:41,1370.5
2022-05-02 11:18:42,1370.45
2022-05-02 11:18:43,1370.45
2022-05-02 11:18:44,1370.45
2022-05-02 11:19:14,1374.25
2022-05-02 11:19:15,1374.6
2022-05-02 11:19:16,1374.6
2022-05-02 11:19:17,1374.8
2022-05-02 11:19:18,1374.9
2022-05-02 11:19:20,1375
2022-05-02 11:19:21,1375
2022-05-02 11:19:22,1375.15
2022-05-02 11:19:23,1375.05
2022-05-02 11:19:24,1375
2022-05-02 11:19:25,1375.1
2022-05-02 11:19:26,1375.5
2022-05-02 11:19:27,1375.5
2022-05-02 11:19:28,1376
2022-05-02 11:19:29,1375.8
2022-05-02 11:19:30,1375.9
2022-05-02 11:19:31,1375.95
2022-05-02 11:19:32,1375.9
2022-05-02 11:19:33,1375.85
2022-05-02 11:19:34,1375.5
2022-05-02 11:19:35,1375.5
2022-05-02 11:19:37,1375.6
2022-05-02 11:19:38,1375.7
2022-05-02 11:19:39,1375.6
2022-05-02 11:19:40,1375.5
2022-05-02 11:19:41,1375.2
2022-05-02 11:19:42,1375.25
2022-05-02 11:19:43,1375.4
2022-05-02 11:20:14,1376.4
2022-05-02 11:20:15,1376.55
2022-05-02 11:20:16,1376.55
2022-05-02 11:20:17,1376.55
2022-05-02 11:20:18,1376.5
2022-05-02 11:20:19,1376.55
2022-05-02 11:20:20,1376.5
2022-05-02 11:20:21,1376.55
2022-05-02 11:20:22,1376.5
2022-05-02 11:20:23,1376.5
2022-05-02 11:20:24,1376.5
2022-05-02 11:20:25,1376.5
2022-05-02 11:20:26,1376.5
2022-05-02 11:20:27,1376.8
2022-05-02 11:20:28,1377.05
2022-05-02 11:20:29,1376.5
2022-05-02 11:20:30,1376.4
2022-05-02 11:20:31,1377
2022-05-02 11:20:32,1377
2022-05-02 11:20:33,1376.95
2022-05-02 11:20:34,1377
2022-05-02 11:20:35,1376.9
2022-05-02 11:20:36,1376.6
2022-05-02 11:20:37,1376.6
2022-05-02 11:20:38,1376.7
2022-05-02 11:20:39,1376.65
2022-05-02 11:20:40,1376.7
2022-05-02 11:20:41,1376.75
2022-05-02 11:20:42,1376.75
2022-05-02 11:20:44,1376.9
2022-05-02 11:21:14,1376.3
2022-05-02 11:21:15,1376.8
2022-05-02 11:21:16,1376.8
2022-05-02 11:21:17,1376.85
2022-05-02 11:21:18,1376.7
2022-05-02 11:21:19,1376.3
2022-05-02 11:21:20,1376.55
2022-05-02 11:21:21,1376.65
2022-05-02 11:21:22,1376.6
2022-05-02 11:21:23,1376.45
2022-05-02 11:21:24,1376.4
2022-05-02 11:21:25,1376.5
2022-05-02 11:21:26,1376
2022-05-02 11:21:27,1376.5
2022-05-02 11:21:28,1376.05
2022-05-02 11:21:29,1376.05
2022-05-02 11:21:30,1376.35
2022-05-02 11:21:31,1376.05
2022-05-02 11:21:32,1376.25
2022-05-02 11:21:34,1376.1
2022-05-02 11:21:35,1376.15
2022-05-02 11:21:36,1376.2
2022-05-02 11:21:37,1376.2
2022-05-02 11:21:38,1376.2
2022-05-02 11:21:39,1376
2022-05-02 11:21:40,1376.15
2022-05-02 11:21:41,1376.15
2022-05-02 11:21:42,1376.15
2022-05-02 11:21:43,1376.2
2022-05-02 11:22:14,1373.55
2022-05-02 11:22:15,1373.75
2022-05-02 11:22:17,1373.55
